id;text_para;pre_na;pre_0
320784;And it is not fair.;NA;1
718089;EU support for the AU;NA;1
1496580;DG VI/F.II.2 Products;1;NA
871980;Let's not forget that.;NA;1
1809774;Rare diseases in the EU;NA;1
506272;Today is World AIDS Day.;NA;1
878543;Speech by M. Neil Kinnock;1;NA
537;Not, at least, on islands.;NA;1
1543735;Thank you so much, Charles.;NA;1
1313460;Doing more and better in 2006;NA;NA
1582904;Some of the measures include:;NA;1
499731;Threats and the ISS framework;NA;NA
1545864;Pres. of the European Council;1;NA
1718321;Pres. of the European Council;1;NA
1365248;The IPv6 Service Launch Event;NA;NA
1461885;Details of the first shipment:;NA;1
20339;Her name was Victoria Amelina.;NA;1
849550;European Day of Disabled People;NA;1
1432202;European Day of Disabled People;NA;1
27618;Because young people deserve it.;NA;1
1776345;Press remarks after EPSCO Council;NA;NA
1776348;Press remarks after EPSCO Council;NA;NA
2100880;HUMANITARIAN AID FOR THE CAUCASUS;NA;1
2100515;HUMANITARIAN AID FOR THE CAUCASUS;NA;1
1527831;Presentation Henk Busz, World Bank;1;NA
1935786;Presentation Henk Busz, World Bank;1;NA
1920434;dialogue with the social partners.;NA;NA
1920446;dialogue with the social partners.;NA;NA
1924970;dialogue with the social partners.;NA;NA
1924974;dialogue with the social partners.;NA;NA
883794;Lorenzo Natali Media Prize website;1;NA
890877;Lorenzo Natali Media Prize website;1;NA
903496;Lorenzo Natali Media Prize website;1;NA
924145;Lorenzo Natali Media Prize website;1;NA
773466;Members of the European Parliament;NA;1
859750;Members of the European Parliament;NA;1
1868935;enforcement of Single Market rules;NA;1
1494247;Commission clears Enso/Stora merger;NA;NA
2094580;Commission clears Enso/Stora merger;NA;NA
303;Good afternoon ladies and gentlemen;NA;1
664362;Good afternoon ladies and gentlemen;NA;1
748208;Washington D.C. , 24th February 2003;1;NA
1390576;(3) Science and Society Action Plan.;NA;NA
1803380;Startup Europe Awards announced today;NA;NA
922307;Protected Designation of Origin (PDO);NA;1
659515;Press Conference on Kyoto Anniversary;1;NA
648219;Challenges and Future Energy Strategy;NA;NA
858724;En voici les principales innovations:;1;NA
1103529;1.3 Amount of municipal waste recycled;NA;NA
976925;LinkedIn: European Green Capital Award;NA;NA
1010161;LinkedIn: European Green Capital Award;NA;NA
615575;Honoured guests, ladies and gentlemen:;NA;1
511168;After Haiti, other disasters followed:;NA;1
1001644;Near threatened, declining or depleted;NA;1
1968991;Improving governance in the Philippines;NA;1
871961;Minister Melkert, ladies and gentlemen,;NA;1
878163;Minister Melkert, ladies and gentlemen,;NA;1
447880;EU Cybersecurity & Digital Crimes Forum;NA;NA
1982789;Implementation of MEDA programme in 2001;NA;NA
1982793;Implementation of MEDA programme in 2001;NA;NA
1184254;GREEN INNOVATION (Politecnico di Milano);NA;NA
1901101;GREEN INNOVATION (Politecnico di Milano);NA;NA
1058062;Social Welfare Services - girls' hostels;NA;NA
1894177;Social Welfare Services - girls' hostels;NA;NA
906750;ENSREG: Basic safety standards directive;NA;NA
810118;1. THE IMPACT OF TELECOMS LIBERALISATION;NA;NA
885564;Fit for 55: Tracking Commission proposals;NA;NA
1254192;Erasmus Mundus External Cooperation Window:;NA;1
1596934;LIFE Integrated Project Environment (waste);NA;1
1891145;Enhancing the competitiveness of SMEs (16%);NA;1
