id,doc_pos,text_para,doc_key,n_chars_para,doc_type,para_type,lang,digital_zeroshot
1023274,14,"Montenegro: Prof. Sanja VLAHOVIC, Minister of Science",detail/en/ip_14_746,53,press,paragraph,en,0.00130664475727826
364505,40,"We are in the age of communication, yet our communications do not yet benefit from the single market boost. For every European and every business trying to travel, trade, or transact, across the EU, the last remaining reminder of our former physical borders is often the phone in their pocket.",detail/en/speech_14_276,293,speech,paragraph,en,0.0566410943865776
551718,16,"More than ever, our maritime challenges require a firm response. We must demonstrate that the EU's Integrated Maritime Policy is not a luxury for fair-weather days, but the key - in good times and bad - to creating investment, jobs and wealth by making the best use of our seas and oceans.",detail/en/speech_09_265,289,speech,paragraph,en,0.00740901939570903
1645204,22,"The European Commission has approved under the EU Merger Regulation the acquisition of ADVO Sansula GmbH by Märkische Verlags- und Druckgesellschaft mbH Potsdam (MVD) and Postcon Deutschland B.V. & Co GmbH, all of Germany. ADVO supplies mail delivery services. MVD publishes printed and digital information. Postcon offers postal services to business clients. The Commission concluded that the proposed acquisition would not raise competition concerns, given the companies' limited combined market positions after the transaction. The transaction was examined under the simplified merger review procedure. More information is available on the Commission's competition website, in the public case register under the case number M.7341 .",detail/en/mex_14_0922,735,news,paragraph,en,0.0321512259542942
588930,14,We have addressed these problems with a lot of initiatives and actions. And as I have already said: we made a difference. SME policy is now firmly anchored in the European strategy for growth and jobs.,detail/en/speech_08_59,201,speech,paragraph,en,0.07959569245576859
111249,6,"By 2050, we want all to live in a toxic-free environment. There will still be some deposits, but they will have reached a level that no longer is harmful, neither for our health, nor for the planet.",detail/en/speech_21_2467,198,speech,paragraph,en,0.0636923760175705
1283569,13,"France applies a reduced VAT rate (5,5%) to services provided by lawyers within the framework of legal aid (""aide juridictionnelle""). Under this framework, the services provided are totally or partially paid by the State.",detail/en/ip_07_1031,221,press,paragraph,en,0.00182663020677864
629798,19,Leaders were finally joined by the Prime Ministers of Norway and Iceland for the Northern Dimension Summit which adopted the basic documents for the new policy with its emphasis on common ownership by the partners.,detail/en/speech_06_758,214,speech,paragraph,en,0.02239691279828548
51018,41,We have lost a lot of speed since Glasgow.,detail/en/speech_22_7042,42,speech,paragraph,en,0.1516040712594986
1530352,23,"To conclude: ambitious trade deals like this one, with reliable and like-minded partners, are more valuable than ever. They bring us closer to our partners, driving opportunity while providing a solid platform for cooperation, including on economic security and multilateral reform.",detail/en/statement_23_3762,282,statement,paragraph,en,0.00146531604696065
2112498,1,Questions and answers on the 11th package of restrictive measures against Russia,detail/en/qanda_23_3449,80,qa,title,en,0.00368460174649953
848131,33,"Traffic, like nature, abhors a vacuum, and always seems to expand to completely fill, and overfill!, the available space. Congestion has become a fact of everyday life for many people, with all the associated costs to be paid in economic and environmental terms.",detail/en/speech_99_20,262,speech,paragraph,en,0.03346455469727516
1997953,1,Speech by Michel Barnier at the Berlin Security Conference,detail/en/speech_17_5021,58,speech,title,en,0.0040409080684185
960267,22,A Reform Support Programme and an Investment Stabilisation Function to strengthen Europe's Economic and Monetary Union - Policy package,detail/en/ip_18_3972,135,press,paragraph,en,0.00367420027032494
1731995,1,"Press Conference, Extraordinary Environment Council",detail/en/speech_16_3263,51,speech,subheader,en,2.361346269026399e-4
697896,5,Conference of Peripheral Maritime Regions of Europe,detail/en/speech_05_16,51,speech,paragraph,en,0.00154796778224408
299763,44,The Declaration identifies the key factors for the success of the blue economy in the Mediterranean. Let me just emphasize one of these:,detail/en/speech_15_7782,136,speech,paragraph,en,0.01032700948417186
554667,16,Business too took their responsibilities more seriously and recalled their unsafe products from the market more readily.,detail/en/speech_09_182,120,speech,paragraph,en,0.14487574994564056
1845539,1,"To characterise more broadly the level of economic integration between the EU and the Russian Federation, I would like to make a reference to my colleague, Commissioner for Trade, Peter Mandelson, who compared the economies of Russia and the EU to 2 big cities joined only by a narrow road and gas pipelines. If one would remove energy from the trade mix, the EU and Russia trade as much as the EU and Iceland! Lack of broader economic integration outside the energy sector therefore is striking, but, today, let us focus on energy sector.",detail/en/speech_07_654,539,speech,list,en,0.00159481749869883
54501,48,"Faced with a unique set of crises this year, our Union has shown once again just how much it can achieve when it is united.",detail/en/speech_22_6438,123,speech,paragraph,en,0.04262289404869079
1092971,13,"In the longer-term, the goal is to incorporate the mitigation and monitoring elements into the new frameworks for technical measures and data collection being developed in the context of the reform of CFP and provide necessary funding to support this under the European Maritime and Fisheries Fund (EMFF).",detail/en/ip_12_1222,305,press,paragraph,en,0.0271634329110384
1104764,22,"Joint Statement by Commissioner Kristalina Georgieva and Commissioner Andris Piebalgs on the Horn of Africa, a year after the declaration of famine:",detail/en/ip_12_864,148,press,paragraph,en,0.00108827161602675
153882,4,Our planet is faced with the existential challenge of climate change.,detail/en/speech_20_398,69,speech,paragraph,en,0.00110812589991837
1447989,3,EU/Russian Federation Energy Dialogue on track,detail/en/ip_01_701,46,press,paragraph,en,7.07779370713979e-4
1723973,33,"The Commission sent a letter of formal notice to Denmark in July 2020. In its reply to the letter, Denmark contested the alleged breach and informed the Commission that it had not amended its legislation transposing the directive. In light of this, the Commission maintains that the rights of persons likely to be affected by environmental damage are not sufficiently clear from the Danish legal texts because they require interpretation.",detail/en/inf_23_525,438,infringement,paragraph,en,0.05404575914144516
383718,38,Today's package shows the extent to which we have Europeanised economic policy coordination.,detail/en/speech_13_912,92,speech,paragraph,en,0.00128200522158294
582266,12,"In the song, as you know very well, the first thing that the farmer wants is a wife. But then things develop from there, because:",detail/en/speech_08_219,129,speech,paragraph,en,0.00166556751355528
1073457,8,"""The EU is committed to developing strong partnerships to help with increasing security wherever it can. Our comprehensive approach to security challenges and crisis situations draws systematically on all of the various diplomatic, economic, humanitarian, security and development instruments at our disposal. The Shangri La dialogue is a good opportunity to strengthen relations with our Asian partners by discussing our approach to the challenges we face together.",detail/en/ip_13_489,466,press,paragraph,en,0.01146350242197513
2110442,1,The 6th meeting of the EU Platform on Animal Welfare,detail/en/statement_19_7285,52,statement,title,en,6.53870461974293e-4
1847167,2,"Secondly, the importance of the decisions to be made in the next couple of years on an international climate change regime, to ensure further global efforts beyond the first Kyoto commitment period which ends in 2012.",detail/en/speech_07_53,217,speech,list,en,0.0140322083607316
1465218,9,"Mr Lamy added: ""We have been through this line by line, product by product, and have concluded that we should now take this important further step. Of course, some of the products are relatively sensitive, but there is no point in offering trade concessions on products which LDCs cannot export. We have to make a real difference. We of course recognise that duty free access alone is not enough to enable the poorest countries to benefit from liberalised trade. We need to help them build their capacity to supply goods of export quality, and we reaffirm the Commission's commitment to continued technical and financial assistance to this end"".",detail/en/ip_00_1034,645,press,paragraph,en,0.16973496973514557
644832,20,The new anti-trust rules enabled us to prioritise our handling of cases to focus resources on those cases which:,detail/en/speech_06_406,112,speech,paragraph,en,0.00199779844842851
1414842,3,Commission clears the acquisition of DSM Petrochemicals by Saudi firm SABIC,detail/en/ip_02_892,75,press,paragraph,en,0.00677859270945191
403660,37,"It is an aspiration we all share, and I hope an illuminating inspiration for today's discussions.",detail/en/speech_13_469,97,speech,paragraph,en,0.2848797142505646
1306079,14,Offers of assistance have been received from participating States and are currently being assessed.,detail/en/ip_06_1078,99,press,paragraph,en,0.05330099910497665
368520,32,"I am referring to our continued commitment to the International Competition Network, the forum now including 130 competition agencies from every continent.",detail/en/speech_14_192,155,speech,paragraph,en,2.9915382037870586e-4
1332780,9,"Member States have agreed to implement the Directive within two years after its publication in the European Union's Official Journal, which will take place towards the end of 2005.",detail/en/ip_05_682,180,press,paragraph,en,0.02805308625102043
1431004,13,"The Green Paper addresses issues of jurisdiction, substance and procedure. In certain areas, it puts forward concrete proposals whereas, in others, it simply outlines the issues and welcomes contributions.",detail/en/ip_01_1795,205,press,paragraph,en,0.03317636996507644
1440260,197,Total eligible cost 19.687.121 EURO,detail/en/ip_01_1234,35,press,paragraph,en,0.14315436780452728
1934048,1,"Single market: The Commission will launch the initiatives and measures it announced in the action programme for the completion of the single market. In 1998 the Commission will also propose a series of initiatives aimed at gradually correcting existing shortcomings in the field of taxation, and special attention will be devoted to the rules on State aid.",detail/en/ip_97_902,356,press,list,en,0.00728135136887431
1686978,10,"The European Commission and the Vietnamese authorities are jointly organising an ASEM Seminar ""Preserving and promoting the diversity of cultural expressions: sharing Asian and European experiences"", which takes place in Hanoi, Vietnam on 15-16 December 2008. The aim of this event is to gather reflections on how to preserve and promote the diversity of cultural expressions, while sharing the rich Asian and European experiences in this field.",detail/en/mex_08_1215,445,news,paragraph,en,0.00369548634625971
710517,34,"Second, the Commission has adopted a proposal on the addition of vitamins and minerals to foods to ensure a high level of consumer protection and to harmonise the current divergent national rules in this area.",detail/en/speech_04_273,209,speech,paragraph,en,0.00208076531998813
908651,5,"The companies proposed for funding have developed cutting-edge and disruptive innovations, across a range of areas, from early cancer diagnosis and treatments, all the way to reducing the negative impact of methane emissions. They address sustainable development goals (SDGs), like tackling climate change, reducing food waste, as well as widening access to education and empowering women.",detail/en/ip_22_1336,389,press,paragraph,en,0.03625998646020889
295212,14,"So, Joshua invented a way of connecting the Pinard horn to a smartphone, so an app can do the listening instead. This allows healthcare workers to get accurate and in-depth results from the app, and it also allows untrained workers to get consistent and reliable readings. The app also uploads data to the cloud, which can be accessed anywhere by a doctor. So that health recommendations can be made quickly, even in remote areas.",detail/en/speech_15_7865,430,speech,paragraph,en,0.2663031816482544
687876,42,"A great deal of hard work is underway. By this autumn we expect to be in a position to share detailed guidelines for the next phase of our negotiations. By mid-2007, we will need to have concluded our talks. It's my ambition that this should be done against the background of a successful conclusion of the Doha Development Round. To complete both of these would be an extraordinary achievement for all of us, given the major contribution they will make to delivering growth in the world's poorest countries.",detail/en/speech_05_241,508,speech,paragraph,en,0.02729382365942001
1327011,9,"LIFE Third Countries is part of the LIFE programme. LIFE is the EU's financial instrument supporting environmental and nature conservation projects throughout the EU, as well as in some candidate, acceding and neighbouring countries. Its objective is to contribute to the development and implementation of EU environmental policy by financing specific actions. Since 1992, LIFE has co-financed some 2 500 projects, contributing €1 500 million to the protection of the environment.",detail/en/ip_05_1156,480,press,paragraph,en,0.05045549571514129
838182,27,"1) First, we should continue to use any opportunity we have in the coming weeks and months [e.g. the Pan European conference of sustainable cities next week in Hanover or the Informal Environmental Council next April in Porto] to encourage the remaining Member States, and as many municipalities as possible, to join us. In this respect, it is good news that some major cities in the remaining Member States would also like to join the initiative.",detail/en/speech_00_32,447,speech,paragraph,en,0.06485284119844437
356561,53,And shape the global business environment for years to come.,detail/en/speech_14_464,60,speech,paragraph,en,0.1819770336151123
1535141,13,"On the economic side, the importance of this milestone should not be underestimated either.",detail/en/statement_22_8199,91,statement,paragraph,en,0.155959814786911
174157,89,"An age when computing power was a trillion times less, than it is today.",detail/en/speech_19_7088,72,speech,paragraph,en,0.15063223242759705
