Country;Country Mentions;rank
US;60836;1
DE;29882;2
FR;29383;3
GB;29151;4
IT;24047;5
ES;22289;6
PT;20666;7
UA;20334;8
GR;20094;9
CN;17344;10
IE;16609;11
RU;15010;12
NL;14205;13
PL;13677;14
TR;12110;15
AT;11422;16
SE;11169;17
DK;10166;18
FI;9140;19
RO;8255;20
HU;7746;21
JP;7681;22
BG;7531;23
CZ;7046;24
LU;6938;25
CY;6619;26
HR;6134;27
SK;5681;28
LT;5442;29
ZA;5307;30
PS;5289;31
SI;5280;32
BA;5255;33
IN;5215;34
SY;4779;35
LV;4776;36
RS;4669;37
MT;4639;38
EE;4638;39
NO;4556;40
CA;4466;41
BR;3903;42
MD;3615;43
AF;3512;44
KV;3207;45
GE;3201;46
CH;3197;47
IL;3006;48
QA;2904;49
IQ;2677;50
